OFC,,,,,,,,,orbital frontal cortex,,,,,,,,,,
OFCm,,,,,,,,,,medial orbital frontal cortex (area 14),,,,,,,,,
A14r,,,,,,,,,,,rostral subdivision of area 14,,,,,,,,
A14c,,,,,,,,,,,caudal subdivision of area 14,,,,,,,,
OFCi,,,,,,,,,,intermediate orbital frontal cortex,,,,,,,,,
A11,,,,,,,,,,,rostral division of OFCi (area 11),,,,,,,,
A11m,,,,,,,,,,,,medial subdivision of area 11,,,,,,,
A11l,,,,,,,,,,,,lateral subdivision of area 11,,,,,,,
A13,,,,,,,,,,,caudal division of OFCi (area 13),,,,,,,,
A13m,,,,,,,,,,,,medial subdivision of area 13,,,,,,,
A13l,,,,,,,,,,,,lateral subdivision of area 13,,,,,,,
OFCl,,,,,,,,,,lateral orbital frontal cortex (area 12/47),,,,,,,,,
A12/47m,,,,,,,,,,,medial subdivision of area 12/47,,,,,,,,
A12/47l,,,,,,,,,,,lateral subdivision of area 12/47,,,,,,,,
PoFC,,,,,,,,,posterior frontal cortex (motor cortex),,,,,,,,,,
M1C (A4),,,,,,,,,,"primary motor cortex (area M1, area 4, area FA)",,,,,,,,,
PMC,,,,,,,,,,"premotor cortex (area 6, area FB)",,,,,,,,,
A6ld,,,,,,,,,,,laterodorsal subdivision of area 6,,,,,,,,
A6lv,,,,,,,,,,,lateroventral subdivision of area 6,,,,,,,,
A6m,,,,,,,,,,,medial subdivision of area 6 (area MII),,,,,,,,
A6/32,,,,,,,,,,area 6/32,,,,,,,,,
PCx,,,,,,,,parietal neocortex,,,,,,,,,,,
"S1C (A3,1,2)",,,,,,,,,"primary somatosensory cortex (area S1, areas 3,1,2)",,,,,,,,,,
ScC (A43),,,,,,,,,"subcentral cortex (gustatory cortex, area 43)",,,,,,,,,,
PoPC,,,,,,,,,posterior parietal cortex,,,,,,,,,,
SPC,,,,,,,,,,posterodorsal (superior) parietal cortex,,,,,,,,,
A5,,,,,,,,,,,rostral division of SPC (area 5),,,,,,,,
A5ci,,,,,,,,,,,,cingulate subdivision of area 5,,,,,,,
A5l,,,,,,,,,,,,lateral subdivision of area 5,,,,,,,
A5m,,,,,,,,,,,,medial subdivision of area 5,,,,,,,
A7,,,,,,,,,,,"caudal division of SPC (area 7, area PE)",,,,,,,,
A7r,,,,,,,,,,,,rostral subdivision of area 7,,,,,,,
A7m,,,,,,,,,,,,medial subdivision of area 7,,,,,,,
A7c,,,,,,,,,,,,caudal subdivision of area 7,,,,,,,
A7pc,,,,,,,,,,,,postcentral subdivision of area 7,,,,,,,
A7ip,,,,,,,,,,,,intraparietal subdivision of area 7 (A7ip),,,,,,,
A7ipr,,,,,,,,,,,,,"area 7ip, rostral part (A7ipr)",,,,,,
A7ipc,,,,,,,,,,,,,"area 7ip, caudal part (A7ipc)",,,,,,
IPC,,,,,,,,,,posteroventral (inferior) parietal cortex,,,,,,,,,
A40,,,,,,,,,,,"rostral division of IPC (area 40, area PF)",,,,,,,,
A40rd,,,,,,,,,,,,rostrodorsal subdivision of area 40,,,,,,,
A40rv,,,,,,,,,,,,rostroventral subdivision of area 40,,,,,,,
A40in,,,,,,,,,,,,inferior subdivision of area 40,,,,,,,
A40/39,,,,,,,,,,,"intermediate division of IPC (area 40/39, area PFG)",,,,,,,,
A40/39r,,,,,,,,,,,,rostral subdivision of area 40/39,,,,,,,
A40/39c,,,,,,,,,,,,caudal subdivision of area 40/39,,,,,,,
A39,,,,,,,,,,,"caudal division of IPC (area 39, area PG)",,,,,,,,
A39r,,,,,,,,,,,,rostral subdivision of area 39,,,,,,,
A39c,,,,,,,,,,,,caudal subdivision of area 39,,,,,,,
RI,,,,,,,,,,,retroinsular cortex,,,,,,,,
TCx,,,,,,,,temporal neocortex,,,,,,,,,,,
DLTC,,,,,,,,,dorsolateral temporal neocortex,,,,,,,,,,
A1C,,,,,,,,,,primary auditory cortex (core),,,,,,,,,
A41,,,,,,,,,,,"main portion of A1C (area TC, area 41)",,,,,,,,
A1Cr,,,,,,,,,,,rostral portion of A1C,,,,,,,,
A42,,,,,,,,,,"secondary auditory cortex (belt, area 42, area TB)",,,,,,,,,
SLTC,,,,,,,,,,superolateral temporal cortex,,,,,,,,,
ASTC (A22r),,,,,,,,,,,anterior (rostral) superior temporal cortex (area 22r),,,,,,,,
ISTC (A22i),,,,,,,,,,,intermediate superior temporal cortex (area 22i),,,,,,,,
STC (A22c),,,,,,,,,,,posterior (caudal) superior temporal cortex (area 22c),,,,,,,,
PSTC (A22p),,,,,,,,,,polysensory temporal cortex (area 22p),,,,,,,,,
A22pr,,,,,,,,,,,rostral division of 22p (area 22pr),,,,,,,,
A22pi,,,,,,,,,,,intermediate division of 22p (area 22pi),,,,,,,,
A22pc,,,,,,,,,,,caudal division of 22p (area 22pc),,,,,,,,
PI,,,,,,,,,,parainsular cortex (area 52),,,,,,,,,
VLTC,,,,,,,,,ventrolateral temporal neocortex,,,,,,,,,,
MTC (A21),,,,,,,,,,"midlateral temporal cortex (area TEd, area 21)",,,,,,,,,
A21r,,,,,,,,,,,rostral subdivision of area 21,,,,,,,,
A21i,,,,,,,,,,,intermediate subdivision of area 21,,,,,,,,
A21c,,,,,,,,,,,caudal subdivision of area 21,,,,,,,,
ITC (A20),,,,,,,,,,"inferolateral temporal cortex (area TEv, area 20)",,,,,,,,,
A20r,,,,,,,,,,,rostral subdivision of area 20,,,,,,,,
A20i,,,,,,,,,,,intermediate subdivision of area 20,,,,,,,,
A20c,,,,,,,,,,,caudal subdivision of area 20,,,,,,,,
MITC,,,,,,,,,,midinferior (fusiform) temporal cortex,,,,,,,,,
A36,,,,,,,,,,,rostral division of MITC (area 36),,,,,,,,
A36r,,,,,,,,,,,,rostral subdivision of area 36,,,,,,,
A36c,,,,,,,,,,,,caudal subdivision of area 36,,,,,,,
TF,,,,,,,,,,,caudal division of MITC (area TF),,,,,,,,
PPHC,,,,,,,,,posterior parahippocampal cortex,,,,,,,,,,
TH,,,,,,,,,,medial division of PPHC (area TH),,,,,,,,,
TL,,,,,,,,,,lateral division of PPHC (area TL),,,,,,,,,
TFO,,,,,,,,,medial temporal-occipital cortex (area TFO),,,,,,,,,,
TFO-m,,,,,,,,,,"area TFO, medial part",,,,,,,,,
TFO-l,,,,,,,,,,"area TFO, lateral part (fusiform face area)",,,,,,,,,
A37,,,,,,,,,lateral temporal-occipital cortex (area 37),,,,,,,,,,
A38,,,,,,,,,"temporal polar cortex (area TG, area 38)",,,,,,,,,,
V5/MT,,,,,,,,,area V5 (mid temporal area),,,,,,,,,,
Ocx,,,,,,,,occipital neocortex,,,,,,,,,,,
Pro,,,,,,,,,area prostriata,,,,,,,,,,
V1C,,,,,,,,,"primary visual cortex (striate cortex, area V1/17, area OC)",,,,,,,,,,
ESOC,,,,,,,,,extrastriate occipital cortex,,,,,,,,,,
Vx,,,,,,,,,,area x of visual cortex,,,,,,,,,
V2 (A18),,,,,,,,,,"parastriate cortex (area V2, area 18, area OB)",,,,,,,,,
PSC (A19),,,,,,,,,,"peristriate cortex (area 19, area OA)",,,,,,,,,
V3,,,,,,,,,,,area V3 of peristriate cortex,,,,,,,,
VP,,,,,,,,,,,area VP (V3V) of peristriate cortex,,,,,,,,
V3A,,,,,,,,,,,area V3A of peristriate cortex,,,,,,,,
V4D,,,,,,,,,,,area V4D of peristriate cortex,,,,,,,,
V4,,,,,,,,,,,area V4 of peristriate cortex,,,,,,,,
V3B,,,,,,,,,,,area V3B of peristriate cortex,,,,,,,,
V6,,,,,,,,,,,area V6 of peristriate cortex,,,,,,,,
V6A/PO,,,,,,,,,,,area V6 of peristriate cortex (parieto-occipital area),,,,,,,,
V7,,,,,,,,,,,area V7 of peristriate cortex,,,,,,,,
LO,,,,,,,,,,,lateral occipital area,,,,,,,,
ICx,,,,,,,,insular neocortex,,,,,,,,,,,
Idg,,,,,,,,,dysgranular insular cortex,,,,,,,,,,
RIdg,,,,,,,,,,rostral dysgranular insular cortex,,,,,,,,,
CIdg,,,,,,,,,,caudal dysgranular insular cortex,,,,,,,,,
Ig,,,,,,,,,granular insular cortex,,,,,,,,,,
RIg,,,,,,,,,,rostral granular insular cortex,,,,,,,,,
CIg,,,,,,,,,,caudal granular insular cortex,,,,,,,,,
CCx,,,,,,,,cingulate neocortex,,,,,,,,,,,
MFC (ACC),,,,,,,,,anterior (rostral) cingulate cortex (ventromedial prefrontal cortex),,,,,,,,,,
A24,,,,,,,,,,"ventral division of MFC (area 24, area LA)",,,,,,,,,
A32,,,,,,,,,,dorsorostral division of MFC (area 32),,,,,,,,,
A25,,,,,,,,,,"subgenual (subcallosal) division of MFC (area 25, area FL)",,,,,,,,,
MCC,,,,,,,,,midcingulate cortex,,,,,,,,,,
A24mc,,,,,,,,,,ventral division of MCC (area 24mc),,,,,,,,,
A32mc,,,,,,,,,,dorsal division of MCC (area 32mc),,,,,,,,,
PCC,,,,,,,,,posterior (caudal) cingulate cortex,,,,,,,,,,
A23,,,,,,,,,,"ventral division of PCC (area 23, area LC2)",,,,,,,,,
A31,,,,,,,,,,"dorsal division of PCC (area 31, area LC1)",,,,,,,,,
PACx,,,,,,,periallocortex,,,,,,,,,,,,
PArCx,,,,,,,,periarchicortex,,,,,,,,,,,
A35,,,,,,,,,perirhinal cortex (area 35),,,,,,,,,,
A35r,,,,,,,,,,rostral subdivision of area 35,,,,,,,,,
A35c,,,,,,,,,,caudal subdivision of area 35,,,,,,,,,
EC,,,,,,,,,entorhinal cortex,,,,,,,,,,
LEC,,,,,,,,,,lateral (anterior) entorhinal cortex,,,,,,,,,
EO,,,,,,,,,,,olfactory part of entorhinal cortex,,,,,,,,
ER,,,,,,,,,,,rostral part of entorhinal cortex,,,,,,,,
ELR,,,,,,,,,,,laterorostral part of entorhinal cortex,,,,,,,,
EMI,,,,,,,,,,,medial intermediate part of entorhinal cortex,,,,,,,,
MEC,,,,,,,,,,medial (posterior) entorhinal cortex,,,,,,,,,
ELI,,,,,,,,,,,lateral intermediate part of entorhinal cortex,,,,,,,,
Ec,,,,,,,,,,,caudal part of entorhinal cortex,,,,,,,,
ECL,,,,,,,,,,,caudal limiting part of entorhinal cortex,,,,,,,,
ELC,,,,,,,,,,,laterocaudal part of entorhinal cortex,,,,,,,,
PrS-PaS,,,,,,,,,pre- and para-subiculum,,,,,,,,,,
PaS,,,,,,,,,,parasubicular cortex (parasubiculum),,,,,,,,,
PaSr,,,,,,,,,,,rostral parasubiculum,,,,,,,,
PaSc,,,,,,,,,,,caudal parasubiculum,,,,,,,,
PrS,,,,,,,,,,presubicular cortex (presubiculum),,,,,,,,,
PrSr,,,,,,,,,,,rostral presubiculum,,,,,,,,
PrSc,,,,,,,,,,,caudal presubiculum (postsubiculum),,,,,,,,
RSC,,,,,,,,,retrosplenial cortex,,,,,,,,,,
A29,,,,,,,,,,area 29 of retrosplenial cortex,,,,,,,,,
A30,,,,,,,,,,area 30 of retrosplenial cortex,,,,,,,,,
PPCx,,,,,,,,peripaleocortex,,,,,,,,,,,
Iag,,,,,,,,,agranular insular cortex (area Iag),,,,,,,,,,
FI,,,,,,,,,frontal agranular insular cortex (area FI),,,,,,,,,,
TI,,,,,,,,,temporal agranular insular cortex (area TI),,,,,,,,,,
ACx,,,,,,,allocortex,,,,,,,,,,,,
ArCx,,,,,,,,archicortex,,,,,,,,,,,
HIP,,,,,,,,,hippocampus (hippocampal formation),,,,,,,,,,
DG,,,,,,,,,,dentate area (dentate gyrus),,,,,,,,,
DGU,,,,,,,,,,,uncal dentate gyrus,,,,,,,,
DGR,,,,,,,,,,,rostral dentate gyrus,,,,,,,,
DGC,,,,,,,,,,,caudal dentate gyrus,,,,,,,,
Hipp,,,,,,,,,,hippocampal proper,,,,,,,,,
CA1,,,,,,,,,,,CA1 region of hippocampus,,,,,,,,
CA1U,,,,,,,,,,,,uncal CA1,,,,,,,
CA1R,,,,,,,,,,,,rostral CA1 (body part of CA1),,,,,,,
CA1C,,,,,,,,,,,,caudal CA1,,,,,,,
CA2,,,,,,,,,,,CA2 region of Hipp,,,,,,,,
CA2U,,,,,,,,,,,,uncal CA2,,,,,,,
CA2R,,,,,,,,,,,,rostral CA2 (body part of CA2),,,,,,,
CA2C,,,,,,,,,,,,caudal CA2,,,,,,,
CA3,,,,,,,,,,,CA3 region of Hipp,,,,,,,,
CA3U,,,,,,,,,,,,uncal CA3,,,,,,,
CA3R,,,,,,,,,,,,rostral CA3 (body part of CA3),,,,,,,
CA3C,,,,,,,,,,,,caudal CA3,,,,,,,
CA4,,,,,,,,,,,CA4 region of Hipp,,,,,,,,
Sub,,,,,,,,,,subicular cortex,,,,,,,,,
S,,,,,,,,,,,subiculum,,,,,,,,
S-U,,,,,,,,,,,,uncal subiculum,,,,,,,
S-R,,,,,,,,,,,,rostral subiculum,,,,,,,
S-C,,,,,,,,,,,,caudal subiculum,,,,,,,
ProS,,,,,,,,,,,prosubiculum,,,,,,,,
ProU,,,,,,,,,,,,uncal prosubiculum,,,,,,,
ProR,,,,,,,,,,,,rostral prosubiculum,,,,,,,
ProC,,,,,,,,,,,,caudal prosubiculum,,,,,,,
SuS,,,,,,,,,,,supracallosal subiculum,,,,,,,,
IG,,,,,,,,,indusium griseum,,,,,,,,,,
TT,,,,,,,,,taenia tecta,,,,,,,,,,
PalCx,,,,,,,,paleocortex (semicortex),,,,,,,,,,,
OB,,,,,,,,,olfactory bulb,,,,,,,,,,
AON,,,,,,,,,anterior olfactory nucleus,,,,,,,,,,
NLOT,,,,,,,,,nucleus of lateral olfactory tract,,,,,,,,,,
OT,,,,,,,,,olfactory tubercle,,,,,,,,,,
LOA,,,,,,,,,lateral olfactory area (layers 1-3),,,,,,,,,,
LOAlc,,,,,,,,,,lightly-stained cell islands of lateral olfactory area,,,,,,,,,
LOAdc,,,,,,,,,,darkly-stained cell islands of lateral olfactory area,,,,,,,,,
Pir,,,,,,,,,piriform cortex,,,,,,,,,,
PEA,,,,,,,,,piriform-entorhinal-amygdaloid area (layers 1-3),,,,,,,,,,
CN,,,,,,cerebral nuclei,,,,,,,,,,,,,
AMY,,,,,,,amygdaloid complex,,,,,,,,,,,,
AAA,,,,,,,,anterior amygdaloid area,,,,,,,,,,,
AAAd,,,,,,,,,dorsal part of AAA,,,,,,,,,,
AAAv,,,,,,,,,ventral part of AAA,,,,,,,,,,
CEN,,,,,,,,central nuclear group,,,,,,,,,,,
CEm,,,,,,,,,medial subdivision of central nucleus,,,,,,,,,,
CEmd,,,,,,,,,,dorsal part of CEm,,,,,,,,,
CEmv,,,,,,,,,,ventral part of CEm,,,,,,,,,
CEl,,,,,,,,,lateral subdivision of central nucleus,,,,,,,,,,
CElap,,,,,,,,,,apical part of CEl,,,,,,,,,
CElca,,,,,,,,,,capsular part of CEl,,,,,,,,,
CElpc,,,,,,,,,,paracapsular part of CEl,,,,,,,,,
CElcn,,,,,,,,,,central part of CEl,,,,,,,,,
CMN,,,,,,,,corticomedial nuclear group,,,,,,,,,,,
Co,,,,,,,,,cortical amygdaloid nuclei,,,,,,,,,,
CoA,,,,,,,,,,anterior cortical nucleus,,,,,,,,,
CoAd,,,,,,,,,,,dorsal subdivision of CoA,,,,,,,,
CoAv,,,,,,,,,,,ventral subdivision of CoA,,,,,,,,
CoA-m,,,,,,,,,,,marginal layer of anterior cortical nucleus,,,,,,,,
CoP,,,,,,,,,,posterior cortical nucleus,,,,,,,,,
CoPd,,,,,,,,,,,dorsal subdivision of CoP,,,,,,,,
CoPv,,,,,,,,,,,venrtral subdivision of CoP,,,,,,,,
CoP-m,,,,,,,,,,,marginal layer of posterior cortical nucleus,,,,,,,,
Me,,,,,,,,,medial nucleus,,,,,,,,,,
MeR,,,,,,,,,,rostral subdivision of medial nucleus,,,,,,,,,
MeC,,,,,,,,,,caudal subdivision of medial nucleus,,,,,,,,,
MeCd,,,,,,,,,,,dorsal part of caudal medial nucleus,,,,,,,,
MeCv,,,,,,,,,,,ventral part of caudal medial nucleus,,,,,,,,
Me-m,,,,,,,,,,marginal layer of medial amygdaloid nucleus,,,,,,,,,
AHA,,,,,,,,,amygdalohippocampal area,,,,,,,,,,
AHAmc,,,,,,,,,,magnocellular part of amygdalohippocampal area,,,,,,,,,
AHApc,,,,,,,,,,parvocellular part of amygdalohippocampal area,,,,,,,,,
AHA-m,,,,,,,,,,marginal layer of amygdalohippocampal area,,,,,,,,,
BLN,,,,,,,,basolateral nuclear group,,,,,,,,,,,
La,,,,,,,,,lateral nucleus,,,,,,,,,,
LaD,,,,,,,,,,dorsal division of lateral nucleus,,,,,,,,,
LaDr,,,,,,,,,,,dorsal rostral subdivision of lateral nucleus,,,,,,,,
LaDl,,,,,,,,,,,dorsal lateral subdivision of lateral nucleus,,,,,,,,
LaCom,,,,,,,,,,,,comb-like part of LaDl,,,,,,,
LaDm,,,,,,,,,,,dorsal medial subdivision of lateral nucleus,,,,,,,,
LaI,,,,,,,,,,intermediate division of lateral nucleus,,,,,,,,,
LaV,,,,,,,,,,ventral division of lateral nucleus,,,,,,,,,
LaVl,,,,,,,,,,,ventral lateral subdivision of lateral nucleus,,,,,,,,
LaVm,,,,,,,,,,,ventral medial subdivision of lateral nucleus,,,,,,,,
LaVglo,,,,,,,,,,,glomerular subdivision of lateral nucleus,,,,,,,,
BL,,,,,,,,,basolateral nucleus (basal nucleus),,,,,,,,,,
BLD,,,,,,,,,,dorsal (magnocellular) division of basolateral nucleus,,,,,,,,,
BLDl,,,,,,,,,,,dorsal lateral subdivision of basolateral nucleus,,,,,,,,
BLI,,,,,,,,,,intermediate division of basolateral nucleus,,,,,,,,,
BLV,,,,,,,,,,ventral (parvicellular) division of basolateral nucleus,,,,,,,,,
BLVl,,,,,,,,,,,ventral lateral subdivision of basolateral nucleus,,,,,,,,
BLVm,,,,,,,,,,,ventral medial subdivision of basolateral nucleus,,,,,,,,
BM,,,,,,,,,basomedial nucleus (accessory basal nucleus),,,,,,,,,,
BMD,,,,,,,,,,dorsal division of basomedial nucleus,,,,,,,,,
BMDl,,,,,,,,,,,dorsolateral subdivision of basomedial nucleus,,,,,,,,
BMDm,,,,,,,,,,,dorsomedial (magnocellular) subdivsion of basomedial nucleus,,,,,,,,
BMV,,,,,,,,,,ventral division of basomedial nucleus,,,,,,,,,
BMVl,,,,,,,,,,,ventrolateral (parvocellular) subdivsion of basomedial nucleus,,,,,,,,
BMVm,,,,,,,,,,,ventromedial subdivsion of basomedial nucleus,,,,,,,,
BMm,,,,,,,,,,medial division of basomedial nucleus,,,,,,,,,
BV,,,,,,,,,basoventral nucleus,,,,,,,,,,
PL,,,,,,,,,paralaminar nucleus,,,,,,,,,,
PLglo,,,,,,,,,,glomerular part of paralaminar nucleus,,,,,,,,,
En,,,,,,,,endopiriform nucleus,,,,,,,,,,,
INA,,,,,,,,Intercalated nucleus of amygdala,,,,,,,,,,,
IMG,,,,,,,,intramedullary gray of the amygdala,,,,,,,,,,,
ATA,,,,,,,amygdaloid transition areas,,,,,,,,,,,,
AHTA,,,,,,,,amygdalohippocampal transition area,,,,,,,,,,,
ASTA,,,,,,,,amygdalostriatal transition area,,,,,,,,,,,
ACTA,,,,,,,,amygdalocortical (corticoamygdaloid) transition area,,,,,,,,,,,
SA,,,,,,,,supra-amygdaloid area,,,,,,,,,,,
EXA,,,,,,,extended amygdala,,,,,,,,,,,,
BNST,,,,,,,,bed nucleus of stria terminalis,,,,,,,,,,,
BNSTm,,,,,,,,,medial subdivision of BNST,,,,,,,,,,
BSTmr,,,,,,,,,,rostral subdivision of BNSTm,,,,,,,,,
BSTmc,,,,,,,,,,caudal subdivision of BNSTm,,,,,,,,,
BSTmcl,,,,,,,,,,,lateral subdivision of BNSTmc,,,,,,,,
BSTmm,,,,,,,,,,,medial subdivision of BNSTmc,,,,,,,,
BSTmv,,,,,,,,,,ventral subdivision of BNSTm,,,,,,,,,
BNSTl,,,,,,,,,lateral subdivision of BNST,,,,,,,,,,
BSTlj,,,,,,,,,,juxtacapsular subdivision of BNSTl,,,,,,,,,
BSTld,,,,,,,,,,dorsal subdivision of BNSTl,,,,,,,,,
BSTlv,,,,,,,,,,ventral subdivision of BNSTl,,,,,,,,,
BSTlcn,,,,,,,,,,central subdivision of BNSTl,,,,,,,,,
BSTlcn-s,,,,,,,,,,,shell of central subdivision of BNSTl,,,,,,,,
BSTlc,,,,,,,,,,caudal subdivision of BNSTl,,,,,,,,,
BSTlcm,,,,,,,,,,,medial subdivision of BNSTlc,,,,,,,,
BSTlcd,,,,,,,,,,,dorsal subdivision of BNSTlc,,,,,,,,
BSTlcv,,,,,,,,,,,ventral subdivision of BNSTlc,,,,,,,,
BNSTsc,,,,,,,,,supracapsular division of BNST,,,,,,,,,,
BSTscl,,,,,,,,,,lateral column of BNSTsc,,,,,,,,,
BSTscm,,,,,,,,,,medial column of BNSTsc,,,,,,,,,
BNSTin,,,,,,,,,intercalated nuclei of BNST,,,,,,,,,,
SLEA,,,,,,,,sublenticular extended amygdala,,,,,,,,,,,
SLEAm,,,,,,,,,medial division of sublenticular extended amygdala,,,,,,,,,,
SLEAc,,,,,,,,,central division of sublenticular extended amygdala,,,,,,,,,,
IPAC,,,,,,,,interstitial nucleus of posterior limb of anterior commissure,,,,,,,,,,,
BN,,,,,,,basal nuclei (basal ganglia),,,,,,,,,,,,
STR,,,,,,,,striatum,,,,,,,,,,,
Ca,,,,,,,,,caudate nucleus,,,,,,,,,,
CaH,,,,,,,,,,head of caudate,,,,,,,,,
CaHr,,,,,,,,,,,rostral pole of CaH,,,,,,,,
CaHdl,,,,,,,,,,,dorsolateral part of CaH,,,,,,,,
CaHvm,,,,,,,,,,,ventromedial part of CaH,,,,,,,,
CaB,,,,,,,,,,body of caudate,,,,,,,,,
CaBr,,,,,,,,,,,rostral part of CaB,,,,,,,,
CaBmi,,,,,,,,,,,middle part of CaB,,,,,,,,
CaBc,,,,,,,,,,,caudal part of CaB,,,,,,,,
CaT,,,,,,,,,,tail of caudate,,,,,,,,,
Eca,,,,,,,,,,peri-caudate ependymal and subependymal zone,,,,,,,,,
CaPu,,,,,,,,,caudate-putamen cell bridges,,,,,,,,,,
Pu,,,,,,,,,putamen,,,,,,,,,,
PuR,,,,,,,,,,rostral part of CaB,,,,,,,,,
PuRd,,,,,,,,,,,dorsal part of rostral PuR,,,,,,,,
PuRi,,,,,,,,,,,intermediate part of rostral PuR,,,,,,,,
PuRv,,,,,,,,,,,ventral part of rostral PuR,,,,,,,,
PuC,,,,,,,,,,caudal putamen,,,,,,,,,
Pld,,,,,,,,,,,laterodorsal part of putamen,,,,,,,,
Pint,,,,,,,,,,,intermediate part of putamen,,,,,,,,
Pmv,,,,,,,,,,,medioventral part of putamen,,,,,,,,
PuPV,,,,,,,,,,posteroventral putamen,,,,,,,,,
PuMG,,,,,,,,,,marginal subdivision (cell groups) of putamen,,,,,,,,,
NAC,,,,,,,,,nucleus accumbens,,,,,,,,,,
NACc,,,,,,,,,,core of nucleus accumbens,,,,,,,,,
NACcl,,,,,,,,,,,lateral portion of the core,,,,,,,,
NACcm,,,,,,,,,,,medial portion of the core,,,,,,,,
NACs,,,,,,,,,,shell of nucleus accumbens,,,,,,,,,
NACsl,,,,,,,,,,,lateral portion of the shell,,,,,,,,
NACsi,,,,,,,,,,,intermediate portion of the shell,,,,,,,,
NACsm,,,,,,,,,,,medial portion of the shell,,,,,,,,
GP,,,,,,,,globus pallidus,,,,,,,,,,,
GPe,,,,,,,,,external segment of globus pallidus,,,,,,,,,,
GPeR,,,,,,,,,,rostral part of Gpe,,,,,,,,,
GPeI,,,,,,,,,,intermediate part of Gpe,,,,,,,,,
GPeC,,,,,,,,,,caudal part of Gpe,,,,,,,,,
GPi,,,,,,,,,internal segment of globus pallidus,,,,,,,,,,
GPic,,,,,,,,,,central portion of GPi,,,,,,,,,
GPip,,,,,,,,,,peripheral portion of GPi,,,,,,,,,
EnPN,,,,,,,,,entopeduncular nucleus,,,,,,,,,,
VeP,,,,,,,,,Ventral pallidus,,,,,,,,,,
Cla,,,,,,,claustrum,,,,,,,,,,,,
CLd,,,,,,,,"Dorsal claustrum (rostral, caudal parts)",,,,,,,,,,,
CLv,,,,,,,,"ventral claustrum (rostral, caudal parts)",,,,,,,,,,,
CLt,,,,,,,,"temporal claustrum (rostral, caudal parts)",,,,,,,,,,,
BF,,,,,,,basal forebrain,,,,,,,,,,,,
SEP,,,,,,,,septal nuclei,,,,,,,,,,,
MSN,,,,,,,,,medial septal nucleus,,,,,,,,,,
LSN,,,,,,,,,lateral septal nucleus,,,,,,,,,,
LSNd,,,,,,,,,,dorsal division of lateral septal nucleus,,,,,,,,,
LSNi,,,,,,,,,,intermediate division of lateral septal nucleus,,,,,,,,,
LSNv,,,,,,,,,,ventral division of lateral septal nucleus,,,,,,,,,
CSN,,,,,,,,,caudal septal nucleus,,,,,,,,,,
SFi,,,,,,,,,,septofimbrial nucleus,,,,,,,,,
TSN,,,,,,,,,,triangular septal nucleus,,,,,,,,,
SHi,,,,,,,,,septohipocampal nucleus,,,,,,,,,,
Ld,,,,,,,,,lambdoid septal zone,,,,,,,,,,
PLd,,,,,,,,,paralambdoid septal nucleus,,,,,,,,,,
SHy,,,,,,,,,septohypothalamic nucleus,,,,,,,,,,
BNM,,,,,,,,basal nucleus of Meynert,,,,,,,,,,,
BNMl,,,,,,,,,lateral cell groups of basal nucleus,,,,,,,,,,
